year,provider_state,provider_type,hcpcs_code,hcpcs_description,place_of_service,line_count,provider_count,beneficiaries,services,estimated_medicare_payment,average_services_per_beneficiary,average_charge_to_allowed_ratio
2023,IL,Advanced Heart Failure and Transplant Cardiology,99215,"Established patient office or other outpatient visit, 40-54 minutes",F,19,19,1159,1743.0,200054.85999855,1.4301147852095728,2.9460036997300287
2024,IN,Micrographic Dermatologic Surgery,99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",O,5,5,2560,3366.0,199894.590000087,1.3706326360124188,1.6371222114550505
2024,IN,Optometry,99203,"New patient office or other outpatient visit with low level of medical decision making, if using time, 30 minutes or more",O,118,118,3284,3284.0,199445.879999997,1.0,1.3754438524893045
2024,IL,Certified Clinical Nurse Specialist,99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",O,29,29,2712,3805.0,199125.950000126,1.4039189186719554,2.693793797050399
2023,IL,Otolaryngology,99214,"Established patient office or other outpatient visit, 30-39 minutes",F,49,49,2054,2597.0,198294.010000159,1.1911419342700702,2.9563225173180583
2023,IN,Certified Clinical Nurse Specialist,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,28,28,1408,2916.0,197704.340000336,2.524829773196514,1.7858499111701376
2023,IL,Radiation Oncology,99215,"Established patient office or other outpatient visit, 40-54 minutes",F,56,56,1450,1742.0,197623.2000009,1.1581286127171198,2.9925742984940134
2024,IL,Radiation Oncology,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",O,34,34,1728,2371.0,197191.929999465,1.2517259381656411,2.7218634889754174
2024,IN,Hand Surgery,99203,"New patient office or other outpatient visit with low level of medical decision making, if using time, 30 minutes or more",O,31,31,2879,2879.0,197052.279999941,1.0,2.349813545300792
2023,IL,Neurology,99204,"New patient office or other outpatient visit, 45-59 minutes",F,66,66,1950,1950.0,195320.410001672,1.0,3.0282149599135875
2023,IL,Gastroenterology,99204,"New patient office or other outpatient visit, 45-59 minutes",F,66,66,1933,1933.0,195093.619999949,1.0,2.9481226279804087
2023,IN,Allergy/ Immunology,99204,"New patient office or other outpatient visit, 45-59 minutes",O,43,43,1746,1746.0,194500.809999818,1.0,1.9813920501516642
2024,IL,Gastroenterology,99204,"New patient office or other outpatient visit with moderate level of medical decision making, if using time, 45 minutes or more",F,66,66,1949,1949.0,194352.609999894,1.0,2.952582870265726
2024,IL,Nurse Practitioner,97110,"Therapy procedure using exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes",O,17,17,568,12078.0,193894.919999608,23.340388613824732,3.1415910542514296
2023,IL,General Practice,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,20,20,880,3020.0,193745.010000061,3.4648767779663574,2.44456321255361
2023,IN,Geriatric Medicine,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,15,15,1684,2576.0,193374.580000077,1.4377514090423378,1.8028158542787736
2023,IN,Endocrinology,99213,"Established patient office or other outpatient visit, 20-29 minutes",O,55,55,2847,3417.0,193363.690000194,1.1387573683642862,1.7619742029339258
2024,IL,Otolaryngology,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",F,54,54,2142,2605.0,193360.860000025,1.1815334938439317,3.047196267862326
2024,IL,Internal Medicine,97110,"Therapy procedure using exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes",O,16,16,583,9960.0,192756.109998726,18.316851232623797,2.745584336338388
2024,IL,Internal Medicine,99204,"New patient office or other outpatient visit with moderate level of medical decision making, if using time, 45 minutes or more",F,65,65,1951,1951.0,192469.560000914,1.0,3.2647297015751198
2023,IL,Radiation Oncology,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,31,31,1631,2259.0,192105.130000126,1.234640345863289,2.619556213009585
2024,IL,Physical Medicine and Rehabilitation,99204,"New patient office or other outpatient visit with moderate level of medical decision making, if using time, 45 minutes or more",F,39,39,1855,1855.0,190645.100001021,1.0,2.849877073262672
2024,IN,Pulmonary Disease,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",F,32,32,2129,2822.0,190644.370000135,1.2552076113157256,2.4350192670787063
2024,IN,Cardiology,99215,"Established patient office or other outpatient visit with high level of medical decision making, if using time, 40 minutes or more",F,53,53,1680,1873.0,189148.319998022,1.0977553241515692,2.5599223145698624
2024,IL,Medical Oncology,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,34,34,1426,2981.0,188751.550000148,1.8554272198134862,2.3609029720068744
2023,IL,Hospitalist,99213,"Established patient office or other outpatient visit, 20-29 minutes",O,31,31,1903,3116.0,188520.900000045,1.4437945265074028,1.7812525116705127
2023,IL,Physical Medicine and Rehabilitation,99204,"New patient office or other outpatient visit, 45-59 minutes",F,34,34,1820,1820.0,188026.76999886302,1.0,2.731536621301374
2023,IL,Hematology,99214,"Established patient office or other outpatient visit, 30-39 minutes",F,10,10,1285,2548.0,187864.320000022,1.956206341302345,2.090283373773116
2023,IL,Urology,99204,"New patient office or other outpatient visit, 45-59 minutes",F,40,40,1901,1903.0,186986.520000243,1.0011363636363637,3.098778677128151
2024,IN,Radiation Oncology,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",F,54,54,2222,2839.0,185870.569999958,1.2157199776075447,2.6452048377585897
2023,IL,Neurology,99213,"Established patient office or other outpatient visit, 20-29 minutes",F,77,77,3271,3853.0,184560.670000224,1.143101559523805,2.6541684192906407
2023,IL,Thoracic Surgery,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,24,24,1429,1858.0,184492.309999193,1.1586502223608035,2.218842353917979
2023,IL,Family Practice,93000,Routine electrocardiogram (ecg) using at least 12 leads with interpretation and report,O,549,549,16600,17629.0,183242.870000156,1.0495226875234938,5.407321095023783
2024,IL,Anesthesiology,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,48,48,1501,2760.0,181218.040000084,1.6590176906191507,4.21549237486741
2024,IL,Neurology,99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",F,83,83,3330,3845.0,181188.759999597,1.1144079037804815,2.7178481343929386
2023,IN,Vascular Surgery,99204,"New patient office or other outpatient visit, 45-59 minutes",O,44,44,1586,1586.0,179141.730000041,1.0,1.936571149528625
2024,IN,Rheumatology,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",F,16,16,1492,2770.0,178976.500000092,1.7011820980235628,1.908073017203938
2023,IN,Neurology,99214,"Established patient office or other outpatient visit, 30-39 minutes",F,30,30,1743,2668.0,177834.540000407,1.3866256488561368,2.274097522754632
2024,IL,Plastic and Reconstructive Surgery,99204,"New patient office or other outpatient visit with moderate level of medical decision making, if using time, 45 minutes or more",O,36,36,1440,1442.0,177384.750001173,1.002260348583878,2.7779877295926982
2024,IN,Neurosurgery,99215,"Established patient office or other outpatient visit with high level of medical decision making, if using time, 40 minutes or more",O,19,19,1052,1331.0,176642.519998408,1.2057705793791325,1.9920118491782957
2024,IN,Family Practice,99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",F,37,37,2296,4147.0,176368.030000381,1.765042957448728,2.099699800850771
2023,IL,Emergency Medicine,99215,"Established patient office or other outpatient visit, 40-54 minutes",O,39,39,1215,1300.0,176333.640000894,1.0818747443303371,2.354437461793169
2023,IN,Clinical Cardiac Electrophysiology,93000,Routine electrocardiogram (ecg) using at least 12 leads with interpretation and report,O,51,51,12892,17807.0,176198.2300001615,1.289726421361429,4.612686986356062
2023,IN,Interventional Cardiology,93000,Routine electrocardiogram (ecg) using at least 12 leads with interpretation and report,O,96,96,16869,19025.0,176098.2000000295,1.1040557951582668,4.835435199756071
2024,IN,Neurology,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",F,39,39,1880,2746.0,175651.869999996,1.2871628757547617,2.0615877672680356
2024,IN,Medical Oncology,99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",F,29,29,1509,3031.0,175306.73000009998,1.8868036256318244,1.8765887776037367
2023,IL,Nurse Practitioner,97110,"Therapy procedure using exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes",O,19,19,623,10938.0,174999.459999851,18.073754564420707,5.055157396056506
2024,IL,Endocrinology,99215,"Established patient office or other outpatient visit with high level of medical decision making, if using time, 40 minutes or more",F,32,32,1335,1619.0,174722.060000708,1.1767281035383281,3.2390890716865637
2023,IN,Radiation Oncology,99214,"Established patient office or other outpatient visit, 30-39 minutes",F,48,48,1996,2590.0,174450.320000008,1.2202828712071232,2.6119662599105395
2024,IL,Clinical Cardiac Electrophysiology,99215,"Established patient office or other outpatient visit with high level of medical decision making, if using time, 40 minutes or more",F,23,23,1305,1539.0,173681.280000834,1.1273197049930537,2.7013064483701505
2023,IN,Sleep Medicine,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,13,13,1453,2060.0,173447.829999762,1.3068890963668367,1.7347728381629706
2024,IN,Interventional Cardiology,93000,Routine electrocardiogram (ecg) using at least 12 leads with interpretation and report,O,96,96,16923,19073.0,173326.7799998885,1.0947510026940335,4.976580502867209
2024,IN,General Surgery,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",F,33,33,1063,2504.0,172783.749999933,1.7678030697693912,2.149400528403767
2024,IL,Radiation Oncology,99215,"Established patient office or other outpatient visit with high level of medical decision making, if using time, 40 minutes or more",O,36,36,1158,1334.0,171905.99999978,1.1372316150230217,2.70031291618624
2024,IN,Sports Medicine,99203,"New patient office or other outpatient visit with low level of medical decision making, if using time, 30 minutes or more",O,44,44,2560,2560.0,171685.88999991099,1.0,2.1473553091284634
2023,IN,Psychiatry,99215,"Established patient office or other outpatient visit, 40-54 minutes",O,24,24,667,1517.0,171533.469999692,1.9990098878089941,1.6923361035161284
2024,IL,Plastic and Reconstructive Surgery,99203,"New patient office or other outpatient visit with low level of medical decision making, if using time, 30 minutes or more",O,55,55,2131,2131.0,171289.019999885,1.0,2.761762770652939
2023,IL,Psychiatry,99213,"Established patient office or other outpatient visit, 20-29 minutes",F,32,32,1222,3582.0,171022.510000252,2.5289684695579266,2.4389360897659667
2024,IN,Vascular Surgery,99204,"New patient office or other outpatient visit with moderate level of medical decision making, if using time, 45 minutes or more",O,31,31,1500,1500.0,170970.900000568,1.0,2.0001379097730174
2023,IN,General Surgery,99214,"Established patient office or other outpatient visit, 30-39 minutes",F,33,33,1155,2448.0,170196.43999993702,1.594885149777341,1.8796151321768886
2023,IN,General Practice,99213,"Established patient office or other outpatient visit, 20-29 minutes",O,16,16,1514,3179.0,170193.429999701,1.927588577800931,1.71368372263525
2023,IN,Advanced Heart Failure and Transplant Cardiology,99214,"Established patient office or other outpatient visit, 30-39 minutes",O,10,10,1317,1991.0,170038.800000118,1.4750070779518063,1.5956223381826984
2024,IN,Allergy/ Immunology,99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",O,36,36,2217,2881.0,169921.099999716,1.2756858903329984,1.9993135657460488
2024,IN,Psychiatry,99215,"Established patient office or other outpatient visit with high level of medical decision making, if using time, 40 minutes or more",O,25,25,709,1542.0,169709.310000031,1.9041921618609823,1.7257566284860202
2024,IL,Family Practice,93000,Routine electrocardiogram (ecg) using at least 12 leads with interpretation and report,O,507,507,15582,16606.0,169481.4599997752,1.0528931315060557,5.341690882774864
2024,IL,Neurosurgery,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",F,41,41,1931,2312.0,169320.24999998,1.140905987468602,2.7167950518470767
2023,IL,Allergy/ Immunology,99215,"Established patient office or other outpatient visit, 40-54 minutes",O,19,19,859,1296.0,168925.170000777,1.4441426979869256,2.0592538396650264
2023,IN,Neurosurgery,99203,"New patient office or other outpatient visit, 30-44 minutes",O,49,49,2255,2255.0,168685.460000019,1.0,1.9009538161257375
