provider_state,provider_city,market,records,providers,service_families,services,estimated_payment,median_charge_to_allowed_ratio,top_priority_records
IL,BARRY,"BARRY, IL",1,1,1,30,300.75999999000004,6.1432030440812175,0
IL,ERIE,"ERIE, IL",2,1,2,30,773.25,2.597115220939523,0
IN,BLOOMINGDALE,"BLOOMINGDALE, IN",1,1,1,30,1739.3999999999999,1.882592205793437,0
IN,FT WAYNE,"FT WAYNE, IN",1,1,1,29,2330.350000008,1.013856032443393,0
IL,PORT BARRINGTON,"PORT BARRINGTON, IL",1,1,1,27,1809.2700000000002,2.663179170134348,0
IN,WEST TERRE HAUTE,"WEST TERRE HAUTE, IN",1,1,1,25,1445.7,1.8875307240402528,0
IN,ARGOS,"ARGOS, IN",1,1,1,23,1163.020000011,2.82028798860875,0
IL,COLONA,"COLONA, IL",1,1,1,22,1210.480000004,3.7167901384717887,0
IN,AUSTIN,"AUSTIN, IN",1,1,1,21,1207.319999991,3.6723946784922394,0
IN,EATON,"EATON, IN",1,1,1,19,913.290000003,2.305135719364794,0
IN,CAYUGA,"CAYUGA, IN",1,1,1,18,754.390000008,1.9834311911911315,0
IN,CLOVERDALE,"CLOVERDALE, IN",1,1,1,18,889.29,2.3224349727126032,0
IL,PALMYRA,"PALMYRA, IL",1,1,1,17,617.370000001,1.6638420472858908,0
IL,SAUGET,"SAUGET, IL",1,1,1,17,661.020000004,1.9573547084052187,0
IL,DANVERS,"DANVERS, IL",1,1,1,16,823.34,2.501352082206598,0
IL,PINGREE GROVE,"PINGREE GROVE, IL",1,1,1,15,843.6,1.116973745798051,0
IN,INDIANAPOLISQ,"INDIANAPOLISQ, IN",1,1,1,15,620.689999995,1.7827163777123771,0
IL,N RIVERSIDE,"N RIVERSIDE, IL",1,1,1,14,465.480000006,1.6921291820091302,0
IN,CASTLETON,"CASTLETON, IN",1,1,1,13,1320.93,1.0200474940326445,0
IL,STONE PARK,"STONE PARK, IL",1,1,1,12,662.16,2.598902685532775,0
IL,VIRGNIA,"VIRGNIA, IL",1,1,1,12,234.44000000399998,2.7939780279397803,0
